Player,Team,BYE,POS,Age,Key,FO ID,Risk,Fpts
Chris Long,STL,6,IDP-DE,30,Chris Long|STL|IDP-DE,LongChr08,Yellow,51
Sen'Derrick Marks,JAC,8,IDP-DT,28,Sen'Derrick Marks|JAC|IDP-DT,MarksSen09,Yellow,50
Kyle Williams,BUF,8,IDP-DT,32,Kyle Williams|BUF|IDP-DT,WilliamsKyl06,Yellow,50
Greg Hardy,DAL,6,IDP-DE,27,Greg Hardy|DAL|IDP-DE,HardyGre10,Yellow,50
Derek Wolfe,DEN,7,IDP-DE,25,Derek Wolfe|DEN|IDP-DE,WolfeDer12,Yellow,50
Charles Johnson,CAR,5,IDP-DE,29,Charles Johnson|CAR|IDP-DE,JohnsonCha07,Yellow,50
Jeremy Mincey,DAL,6,IDP-DE,32,Jeremy Mincey|DAL|IDP-DE,MinceyJer06,Yellow,49
Arthur Jones,IND,10,IDP-DE,29,Arthur Jones|IND|IDP-DE,JonesArt10,Yellow,49
Corey Liuget,SD,10,IDP-DE,25,Corey Liuget|SD|IDP-DE,LiugetCor11,Yellow,49
Jason Pierre-Paul,NYG,11,IDP-DE,26,Jason Pierre-Paul|NYG|IDP-DE,Pierre-PaulJas10,Red,48
Michael Johnson,CIN,7,IDP-DE,28,Michael Johnson|CIN|IDP-DE,JohnsonMic09,Yellow,48
Sheldon Richardson,NYJ,5,IDP-DE,25,Sheldon Richardson|NYJ|IDP-DE,RichardsonShe13,Yellow,48
Jason Jones,DET,9,IDP-DE,29,Jason Jones|DET|IDP-DE,JonesJas08,Yellow,48
Randy Gregory,DAL,6,IDP-DE,23,Randy Gregory|DAL|IDP-DE,GregoryRan15,Red,48
Johnathan Hankins,NYG,11,IDP-DT,23,Johnathan Hankins|NYG|IDP-DT,HankinsJoh13,Yellow,47
Vinny Curry,PHI,8,IDP-DE,27,Vinny Curry|PHI|IDP-DE,CurryVin12,Yellow,47
Jacquies Smith,TB,6,IDP-DE,25,Jacquies Smith|TB|IDP-DE,SmithJac12,Yellow,47
Michael Bennett,SEA,9,IDP-DE,30,Michael Bennett|SEA|IDP-DE,BennettMic09,Yellow,47
Timmy Jernigan,BAL,9,IDP-DE,23,Timmy Jernigan|BAL|IDP-DE,JerniganTim14,Yellow,47
Demarcus Lawrence,DAL,6,IDP-DE,23,Demarcus Lawrence|DAL|IDP-DE,LawrenceDem14,Red,47
Sealver Siliga,NE,4,IDP-DT,25,Sealver Siliga|NE|IDP-DT,SiligaSea11,Yellow,46
Andre Branch,JAC,8,IDP-DE,26,Andre Branch|JAC|IDP-DE,BranchAnd12,Yellow,46
Kendall Reyes,SD,10,IDP-DE,26,Kendall Reyes|SD|IDP-DE,ReyesKen12,Yellow,46
Geno Atkins,CIN,7,IDP-DT,27,Geno Atkins|CIN|IDP-DT,AtkinsGen10,Yellow,45
Sharrif Floyd,MIN,5,IDP-DT,24,Sharrif Floyd|MIN|IDP-DT,FloydSha13,Yellow,45
George Johnson,TB,6,IDP-DE,28,George Johnson|TB|IDP-DE,JohnsonGeo10,Yellow,45
Wes Horton,CAR,5,IDP-DE,25,Wes Horton|CAR|IDP-DE,HortonWes13,Yellow,45
Bennie Logan,PHI,8,IDP-DT,26,Bennie Logan|PHI|IDP-DT,LoganBen13,Yellow,44
Eddie Goldman,CHI,7,IDP-DT,21,Eddie Goldman|CHI|IDP-DT,GoldmanEdd15,Yellow,44
Robert Mathis,IND,10,IDP-LB,34,Robert Mathis|IND|IDP-LB,MathisRob13,Yellow,43
Danny Shelton,CLE,11,IDP-DT,21,Danny Shelton|CLE|IDP-DT,SheltonDan15,Yellow,43
O'Brien Schofield,ATL,10,IDP-DE,28,O'Brien Schofield|ATL|IDP-DE,SchofieldO'B10,Yellow,43
Larry Webster,DET,9,IDP-DE,25,Larry Webster|DET|IDP-DE,WebsterLar14,Yellow,43
Jared Odrick,JAC,8,IDP-DT,28,Jared Odrick|JAC|IDP-DT,OdrickJar10,Yellow,42
Brandon Williams,BAL,9,IDP-DT,26,Brandon Williams|BAL|IDP-DT,WilliamsBra13,Yellow,42
Ryan Davis,JAC,8,IDP-DE,26,Ryan Davis|JAC|IDP-DE,DavisRya12,Yellow,42
Wallace Gilberry,CIN,7,IDP-DE,31,Wallace Gilberry|CIN|IDP-DE,GilberryWal08,Yellow,41
Robert Ayers,NYG,11,IDP-DE,30,Robert Ayers|NYG|IDP-DE,AyersRob09,Red,41
Brian Robison,MIN,5,IDP-DE,32,Brian Robison|MIN|IDP-DE,RobisonBri07,Yellow,41
Damon Harrison,NYJ,5,IDP-DT,27,Damon Harrison|NYJ|IDP-DT,HarrisonDam12,Yellow,40
Michael Brockers,STL,6,IDP-DT,25,Michael Brockers|STL|IDP-DT,BrockersMic12,Yellow,40
Cliff Avril,SEA,9,IDP-DE,29,Cliff Avril|SEA|IDP-DE,AvrilCli08,Yellow,40
Tyrone Crawford,DAL,6,IDP-DT,26,Tyrone Crawford|DAL|IDP-DT,CrawfordTyr12,Yellow,39
Linval Joseph,MIN,5,IDP-DT,27,Linval Joseph|MIN|IDP-DT,JosephLin10,Yellow,39
Domata Peko,CIN,7,IDP-DT,31,Domata Peko|CIN|IDP-DT,PekoDom06,Yellow,38
Ian Williams,SF,10,IDP-DT,26,Ian Williams|SF|IDP-DT,WilliamsIan11,Yellow,38
Glenn Dorsey,SF,10,IDP-DT,30,Glenn Dorsey|SF|IDP-DT,DorseyGle08,Yellow,38
Akeem Spence,TB,6,IDP-DT,24,Akeem Spence|TB|IDP-DT,SpenceAke13,Yellow,38
