espn_id,full_name,team,position,injury,fantasy_points
17731,Josh Harper,Oak,WR,False,0
14816,Kai Forbath,Wsh,K,False,123
60023,PIT_DST,PIT,DST,False,78
13231,Dennis Pitta,Dennis,Pitta,True,37.9
12731,Ryan Succop,Ten,K,False,124
15803,EJ Manuel,Buf,QB,False,10.1
60030,JAC_DST,JAC,DST,False,79
2148,Sebastian Janikowski,Oak,K,False,119
13289,Tony Moeaki,Atl,TE,False,4
14878,Brandon Weeden,Dal,QB,False,8.1
17550,Tre McBride,Ten,WR,False,2.7
5662,Josh Scobee,Jac,K,False,116
14007,Lance Kendricks,StL,TE,False,39.8
60018,NO_DST,NO,DST,False,73
17180,Patrick Murray,TB,K,False,115
12535,James Casey,Den,TE,False,16.9
60010,TEN_DST,TEN,DST,False,87
17187,Darren Fells,Ari,TE,False,37.8
17157,Travis Coons,Cle,K,False,102
14879,Brock Osweiler,Den,QB,False,0
17732,Antwan Goodley,Dal,WR,False,0
8627,Derek Anderson,Car,QB,False,8
16797,Troy Niklas,Ari,TE,False,32.8
60003,CHI_DST,CHI,DST,False,92
13198,Jimmy Clausen,Chi,QB,False,9.1
15837,Mike Glennon,TB,QB,False,0
12549,Brandon Pettigrew,Det,TE,False,5.9
16814,Zach Mettenberger,Ten,QB,False,0
10487,Drew Stanton,Ari,QB,False,11.1
15887,Ryan Griffin,Hou,TE,False,16.9
4260,Shaun Hill,Min,QB,False,0
60024,SD_DST,SD,DST,False,65
9639,Anthony Fasano,Ten,TE,False,12.9
9780,Bruce Gradkowski,Pit,QB,False,7
1575,Matt Hasselbeck,Ind,QB,False,0
60028,WAS_DST,WAS,DST,False,67
15187,Austin Davis,StL,QB,False,8
14353,Scott Tolzien,GB,QB,False,0
12471,Chase Daniel,KC,QB,False,8
13199,Colt McCoy,Wsh,QB,False,0
15891,Ryan Nassib,NYG,QB,False,0
5631,Luke McCown,NO,QB,False,0
14114,T.J. Yates,Atl,QB,False,0
8559,Dan Orlovsky,Det,QB,False,0
